,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
0,0,IIIIII,0,IIIIII,,0,0,0,0
1,1,IIIIIZ,0,IIIIIZ,,1,0,1,0
2,2,IIIIZI,0,IIIIZI,,2,0,2,0
3,3,IIIIZZ,0,IIIIZZ,,3,0,3,0
4,4,IIIZII,0,IIIZII,,4,0,4,0
5,5,IIIZIZ,0,IIIZIZ,,5,0,5,0
6,6,IIIZZI,0,IIIZZI,,6,0,6,0
7,7,IIZIII,0,IIZIII,,8,0,7,0
8,8,IIZIIZ,0,IIZIIZ,,9,0,8,0
9,9,IIZIZI,0,IIZIZI,,10,0,9,0
10,10,IIZZII,0,IIZZII,,12,0,10,0
11,11,IZIIII,0,IZIIII,,16,0,11,0
12,12,IZIIIZ,0,IZIIIZ,,17,0,12,0
13,13,IZIIZI,0,IZIIZI,,18,0,13,0
14,14,IZIZII,0,IZIZII,,20,0,14,0
15,15,IZZIII,0,IZZIII,,24,0,15,0
16,16,ZIIIII,0,ZIIIII,,32,0,16,0
17,17,ZIIIIZ,0,ZIIIIZ,,33,0,17,0
18,18,ZIIIZI,0,ZIIIZI,,34,0,18,0
19,19,ZIIZII,0,ZIIZII,,36,0,19,0
20,20,ZIZIII,0,ZIZIII,,40,0,20,0
21,21,ZZIIII,0,ZZIIII,,48,0,21,0
22,22,IXIXII,1,,IXIXII,0,20,0,1
23,26,IXXIXX,1,,IXXIXX,0,27,0,2
24,30,IIXXYY,2,IIIIZZ,IIXXXX,3,15,3,3
25,34,XXIIYY,2,IIIIZZ,XXIIXX,3,51,3,4
26,31,IIXYYX,2,IIIZZI,IIXXXX,6,15,6,3
27,38,IXIZZX,2,IIIZZI,IXIIIX,6,17,6,5
28,42,IXXYYI,2,IIIZZI,IXXXXI,6,30,6,6
29,32,IIYXXY,2,IIZIIZ,IIXXXX,9,15,8,3
30,23,IXZXZI,2,IIZIZI,IXIXII,10,20,9,1
31,27,IXYIYX,2,IIZIZI,IXXIXX,10,27,9,2
32,33,IIYYXX,2,IIZZII,IIXXXX,12,15,10,3
33,39,IXZZIX,2,IIZZII,IXIIIX,12,17,10,5
34,43,IXYYXI,2,IIZZII,IXXXXI,12,30,10,6
35,46,XXYYII,2,IIZZII,XXXXII,12,60,10,7
36,28,IYXIXY,2,IZIIIZ,IXXIXX,17,27,12,2
37,50,XZXIIZ,2,IZIIIZ,XIXIII,17,40,12,8
38,44,IYXXYI,2,IZIIZI,IXXXXI,18,30,13,6
39,54,XZXXZX,2,IZIIZI,XIXXIX,18,45,13,9
40,35,XYIIYX,2,IZIIZI,XXIIXX,18,51,13,4
41,24,IYIYII,2,IZIZII,IXIXII,20,20,14,1
42,51,XZXZII,2,IZIZII,XIXIII,20,40,14,8
43,40,IYIZZY,2,IZIZZZ,IXIIIX,23,17,22,5
44,55,XZXYZY,2,IZIZZZ,XIXXIX,23,45,22,9
45,45,IYYXXI,2,IZZIII,IXXXXI,24,30,15,6
46,58,XZZIXI,2,IZZIII,XIIIXI,24,34,15,10
47,47,XYYXII,2,IZZIII,XXXXII,24,60,15,7
48,29,IYYIYY,2,IZZIZZ,IXXIXX,27,27,23,2
49,62,XZZXYY,2,IZZIZZ,XIIXXX,27,39,23,11
50,41,IYZZIY,2,IZZZIZ,IXIIIX,29,17,24,5
51,59,XZZZXZ,2,IZZZIZ,XIIIXI,29,34,24,10
52,25,IYZYZI,2,IZZZZI,IXIXII,30,20,25,1
53,63,XZZYYX,2,IZZZZI,XIIXXX,30,39,25,11
54,36,YXIIXY,2,ZIIIIZ,XXIIXX,33,51,17,4
55,48,YXXYII,2,ZIIZII,XXXXII,36,60,19,7
56,37,YYIIXX,2,ZZIIII,XXIIXX,48,51,21,4
57,49,YYXXII,2,ZZIIII,XXXXII,48,60,21,7
58,64,YZZXXY,2,ZZZIIZ,XIIXXX,57,39,26,11
59,52,YZYIIZ,2,ZZZIIZ,XIXIII,57,40,26,8
60,60,YZZIYI,2,ZZZIZI,XIIIXI,58,34,27,10
61,56,YZYXZX,2,ZZZIZI,XIXXIX,58,45,27,9
62,65,YZZYXX,2,ZZZZII,XIIXXX,60,39,28,11
63,53,YZYZII,2,ZZZZII,XIXIII,60,40,28,8
64,61,YZZZYZ,2,ZZZZZZ,XIIIXI,63,34,29,10
65,57,YZYYZY,2,ZZZZZZ,XIXXIX,63,45,29,9
